epochs,test_name,train_loss,test_loss,train_metric,test_metric,pen,conf
16,test_1/,0.015608030100920446,0.0192564003932656,3.141157749510624e-6,4.2105418748181716e-5,l1,g1_1__g2_0.5
17,test_1/,0.015608021584070323,0.019261331892393756,3.14768661450498e-6,4.221312786363295e-5,l1,g1_1__g2_0.5
18,test_1/,0.015608016761721594,0.019266263849747903,3.154233193652382e-6,4.232116168302328e-5,l1,g1_1__g2_0.5
19,test_1/,0.015608010727191975,0.019271194111533742,3.1608018042495567e-6,4.242959424716068e-5,l1,g1_1__g2_0.5
20,test_1/,0.015608001285402795,0.01927611969100068,3.1673919106584182e-6,4.2538418553491174e-5,l1,g1_1__g2_0.5
21,test_1/,0.015607996537779325,0.0192810514158276,3.1740080681612116e-6,4.264771292541182e-5,l1,g1_1__g2_0.5
22,test_1/,0.015607988317087488,0.01928597891871982,3.1806478764888855e-6,4.275743890636499e-5,l1,g1_1__g2_0.5
23,test_1/,0.015607980636642232,0.01929090765012528,3.1873142697642397e-6,4.2867647620566896e-5,l1,g1_1__g2_0.5
24,test_1/,0.015607973789899572,0.019295835951524308,3.1940053571424037e-6,4.297830895814543e-5,l1,g1_1__g2_0.5
25,test_1/,0.015607966793398388,0.01930076649135841,3.200727619617765e-6,4.308953383551034e-5,l1,g1_1__g2_0.5
26,test_1/,0.015607960162924366,0.019305698713475886,3.207480805996383e-6,4.320131990204504e-5,l1,g1_1__g2_0.5
27,test_1/,0.015607951893903774,0.01931063060004936,3.2142664340186054e-6,4.331369475325647e-5,l1,g1_1__g2_0.5
28,test_1/,0.015607948146470008,0.01931556415220424,3.221085302222481e-6,4.3426673409748354e-5,l1,g1_1__g2_0.5
29,test_1/,0.015607884572496645,0.019362364973299892,3.283245183533024e-6,4.4444128950466085e-5,l1,g1_1__g2_0.5
30,test_1/,0.015607822503637351,0.01940935675052658,3.3468186555212784e-6,4.548311545668286e-5,l1,g1_1__g2_0.5
31,test_1/,0.015607787806523131,0.01945670979491263,3.4118506780243098e-6,4.6544318852186353e-5,l1,g1_1__g2_0.5
32,test_1/,0.015607786618552565,0.019456029011289063,3.4108701541181062e-6,4.652807123231861e-5,l1,g1_1__g2_0.5
33,test_1/,0.015607786618552565,0.019456029011289063,3.4108701541181062e-6,4.652807123231861e-5,l1,g1_1__g2_0.5
1,test_1/,0.01768915397165906,0.03529422341960665,0.0007183578911917138,0.002013564154197812,l1,g1_1__g2_0.1
2,test_1/,0.012936876334861147,0.031229800553419697,0.0001823066470359978,0.0012944883095812438,l1,g1_1__g2_0.1
3,test_1/,0.010833892713946728,0.02998938572394202,0.00020061856413815395,0.0013577658637441215,l1,g1_1__g2_0.1
4,test_1/,0.010327763729931428,0.029207281483515955,0.00013736351341765468,0.001213435934301241,l1,g1_1__g2_0.1
5,test_1/,0.010171509110774326,0.02501973710419858,0.00024777867143159217,0.0018209615260263525,l1,g1_1__g2_0.1
6,test_1/,0.006245614646668092,0.013755891199707089,1.7634560593851922e-5,0.0002422934965927005,l1,g1_1__g2_0.1
7,test_1/,0.005918149418946558,0.013393731057394205,1.603912812277676e-5,0.00023869049805925785,l1,g1_1__g2_0.1
8,test_1/,0.0038173003176659765,0.005580638849336424,1.4300633301425932e-6,1.29299072245607e-5,l1,g1_1__g2_0.1
9,test_1/,0.003654742946334921,0.004405158084474948,9.254843090135155e-7,3.4860868220041697e-6,l1,g1_1__g2_0.1
10,test_1/,0.0036229450368632384,0.0038015950197538137,8.286259978485532e-7,1.2767656402995997e-6,l1,g1_1__g2_0.1
11,test_1/,0.003622820045928634,0.003814877438598755,8.298438431112e-7,1.2894444815011208e-6,l1,g1_1__g2_0.1
12,test_1/,0.00362127005802881,0.0037703948355882204,8.203617351431406e-7,1.1166339332902966e-6,l1,g1_1__g2_0.1
13,test_1/,0.0036212560617590378,0.0037706537789079153,8.20507152631458e-7,1.1182860345410473e-6,l1,g1_1__g2_0.1
14,test_1/,0.003621253972175968,0.0037706960374976123,8.205300570118653e-7,1.1185535898878547e-6,l1,g1_1__g2_0.1
15,test_1/,0.0036212523192641665,0.003770726219638886,8.205472291326192e-7,1.1187529339225695e-6,l1,g1_1__g2_0.1
16,test_1/,0.003621251090803763,0.0037707510240699675,8.205617116990401e-7,1.1189210719646806e-6,l1,g1_1__g2_0.1
17,test_1/,0.003621249151265676,0.00376777134571331,8.205243778974356e-7,1.1133160791148481e-6,l1,g1_1__g2_0.1
18,test_1/,0.003621241847434847,0.003760920905747644,8.204833299905745e-7,1.1008231343541713e-6,l1,g1_1__g2_0.1
19,test_1/,0.003621239774378545,0.003759123947413244,8.204784205703883e-7,1.0975947075400598e-6,l1,g1_1__g2_0.1
20,test_1/,0.00362123958389419,0.0037591186794472846,8.204782658590728e-7,1.0975843860246444e-6,l1,g1_1__g2_0.1
21,test_1/,0.00362123958389419,0.0037591186794472846,8.204782658590728e-7,1.0975843860246444e-6,l1,g1_1__g2_0.1
1,test_1/,0.01768915397165906,0.03529422341960665,0.0007183578911917138,0.002013564154197812,l1,g1_1__g2_0.05
2,test_1/,0.01621038811970807,0.036851962686431886,0.00046548157757238793,0.0018696250176410253,l1,g1_1__g2_0.05
3,test_1/,0.01502243334780405,0.03707047781002081,0.0002697428005772083,0.002038130485671489,l1,g1_1__g2_0.05
4,test_1/,0.006132679018762174,0.019273034533555354,6.518366474177369e-5,0.0007095398458440145,l1,g1_1__g2_0.05
5,test_1/,0.002299211634215217,0.00379313967874552,2.0423078021494755e-6,2.232062321981516e-5,l1,g1_1__g2_0.05
6,test_1/,0.0021057033234940475,0.002148325407307361,8.40165759968579e-7,1.002341451551238e-6,l1,g1_1__g2_0.05
7,test_1/,0.0020985584860838194,0.0022629568134076815,8.577612788691239e-7,1.6180553801070291e-6,l1,g1_1__g2_0.05
8,test_1/,0.002094087097176811,0.002215492644230429,8.281871338710411e-7,1.1455028912442774e-6,l1,g1_1__g2_0.05
9,test_1/,0.0020922583649111383,0.0021833327314485823,8.193815499402863e-7,1.007150006814171e-6,l1,g1_1__g2_0.05
10,test_1/,0.0020922279417177666,0.0021832310051127244,8.205930619361775e-7,1.02346313884016e-6,l1,g1_1__g2_0.05
11,test_1/,0.002092209420904708,0.002185048433558029,8.210010149470345e-7,1.0325858670418923e-6,l1,g1_1__g2_0.05
12,test_1/,0.0020921900653071007,0.0021869154828473452,8.214703851306798e-7,1.0427894291581301e-6,l1,g1_1__g2_0.05
13,test_1/,0.0020921699933366886,0.002189128732520673,8.2200631969067e-7,1.0541601544337436e-6,l1,g1_1__g2_0.05
14,test_1/,0.002092154852073085,0.0021917276356525632,8.226136350878463e-7,1.0667835782482853e-6,l1,g1_1__g2_0.05
15,test_1/,0.0020921335395482823,0.0021949116468166596,8.220963292852838e-7,1.066068353171295e-6,l1,g1_1__g2_0.05
16,test_1/,0.002092122304438217,0.002197952598678249,8.221497425340744e-7,1.0723326196831007e-6,l1,g1_1__g2_0.05
17,test_1/,0.002092120983682372,0.0021973840947831533,8.222003415286376e-7,1.0719437803465492e-6,l1,g1_1__g2_0.05
18,test_1/,0.002092114965966237,0.002198347914034684,8.223446966735751e-7,1.0755608822228132e-6,l1,g1_1__g2_0.05
19,test_1/,0.0020921093372649516,0.0021993318442431365,8.224932687507075e-7,1.0792485139936288e-6,l1,g1_1__g2_0.05
20,test_1/,0.002092108205134191,0.0021995620242787634,8.225365993798804e-7,1.0802118143935473e-6,l1,g1_1__g2_0.05
21,test_1/,0.002092107154111116,0.002199700773951444,8.225628752032597e-7,1.08079536817398e-6,l1,g1_1__g2_0.05
22,test_1/,0.0020921063308393505,0.0021998258675289865,8.225864903290256e-7,1.0813205772440087e-6,l1,g1_1__g2_0.05
23,test_1/,0.0020921055111855773,0.0021999511214539445,8.2261019674505e-7,1.0818475671245344e-6,l1,g1_1__g2_0.05
24,test_1/,0.0020921047839943183,0.0022000765908047107,8.226340059633167e-7,1.0823764221370078e-6,l1,g1_1__g2_0.05
